date,absolute_value,rate,year,,,,
01/01/2000,537853,22.9,2000,,,,
01/01/2001,505479,21,2001,,,,
01/01/2002,494538,20.2,2002,,,,
01/01/2003,481399,19.2,2003,,,,
01/01/2004,481800,18.9,2004,,,,
01/01/2005,474473,18.2,2005,,,,
01/01/2006,472698,17.8,2006,,,,
01/01/2007,479647,17.7,2007,,,,
01/01/2008,493203,17.9,2008,,,,
01/01/2009,501644,17.9,2009,,,,
01/01/2010,491239,17.2,2010,,,,
01/01/2011,511594,17.6,2011,,,,
01/01/2012,526012,17.8,2012,,,,
01/01/2013,503914,16.7,2013,,,,
01/01/2014,528612,17.2,2014,,,,
01/01/2015,521136,16.7,2015,,,,
01/01/2016,508203,16.1,2016,,,,
01/01/2017,508685,15.9,2017,,,,
01/01/2018,501945,15.5,2018,,,,
01/01/2019,489863,15.1,2019,,,,
01/01/2020,471504,14.5,2020,,,,
01/01/2021,439744,13.5,2021,,,,
01/01/2022,423124,12.9,2022,,,,
01/01/2000,100707,4.3,2000,,,,
01/01/2001,104531,4.3,2001,,,,
01/01/2002,110367,4.5,2002,,,,
01/01/2003,112744,4.5,2003,,,,
01/01/2004,113192,4.4,2004,,,,
01/01/2005,115436,4.4,2005,,,,
01/01/2006,117778,4.4,2006,,,,
01/01/2007,120670,4.5,2007,,,,
01/01/2008,127098,4.6,2008,,,,
01/01/2009,131328,4.7,2009,,,,
01/01/2010,130978,4.6,2010,,,,
01/01/2011,135463,4.7,2011,,,,
01/01/2012,138692,4.7,2012,,,,
01/01/2013,142202,4.7,2013,,,,
01/01/2014,150318,4.9,2014,,,,
01/01/2015,155786,5,2015,,,,
01/01/2016,162201,5.1,2016,,,,
01/01/2017,168168,5.3,2017,,,,
01/01/2018,172031,5.3,2018,,,,
01/01/2019,174254,5.4,2019,,,,
01/01/2020,166970,5.1,2020,,,,
01/01/2021,224569,6.9,2021,,,,
01/01/2022,206525,6.3,2022,,,,