year,sex,age,ethnicity,population
2000,both,overall,bumi_malay,11785.9
2000,both,overall,bumi_other,2563.3
2000,both,overall,chinese,5761.7
2000,both,overall,indian,1696.1
2000,both,overall,other_citizen,274.7
2001,both,overall,bumi_malay,12041.5
2001,both,overall,bumi_other,2632.8
2001,both,overall,chinese,5849.2
2001,both,overall,indian,1722.9
2001,both,overall,other_citizen,276
2002,both,overall,bumi_malay,12291.5
2002,both,overall,bumi_other,2702.6
2002,both,overall,chinese,5923.1
2002,both,overall,indian,1748.4
2002,both,overall,other_citizen,276.6
2003,both,overall,bumi_malay,12532
2003,both,overall,bumi_other,2772.3
2003,both,overall,chinese,5994.3
2003,both,overall,indian,1772.3
2003,both,overall,other_citizen,277
2004,both,overall,bumi_malay,12777.9
2004,both,overall,bumi_other,2845.9
2004,both,overall,chinese,6061.5
2004,both,overall,indian,1796.7
2004,both,overall,other_citizen,277.4
2005,both,overall,bumi_malay,13024.3
2005,both,overall,bumi_other,2923
2005,both,overall,chinese,6127.3
2005,both,overall,indian,1819.5
2005,both,overall,other_citizen,277.4
2006,both,overall,bumi_malay,13270.6
2006,both,overall,bumi_other,3003
2006,both,overall,chinese,6191.4
2006,both,overall,indian,1841.6
2006,both,overall,other_citizen,278.2
2007,both,overall,bumi_malay,13522
2007,both,overall,bumi_other,3085.1
2007,both,overall,chinese,6253.6
2007,both,overall,indian,1863.3
2007,both,overall,other_citizen,279.1
2008,both,overall,bumi_malay,13771.7
2008,both,overall,bumi_other,3171.5
2008,both,overall,chinese,6314.7
2008,both,overall,indian,1884.2
2008,both,overall,other_citizen,280.8
2009,both,overall,bumi_malay,14031.5
2009,both,overall,bumi_other,3261.6
2009,both,overall,chinese,6372.6
2009,both,overall,indian,1904.6
2009,both,overall,other_citizen,278
2010,both,overall,bumi_malay,14322.1
2010,both,overall,bumi_other,3354.7
2010,both,overall,chinese,6430.4
2010,both,overall,indian,1924.9
2010,both,overall,other_citizen,232
2011,both,overall,bumi_malay,14551.3
2011,both,overall,bumi_other,3412.9
2011,both,overall,chinese,6471.1
2011,both,overall,indian,1939.7
2011,both,overall,other_citizen,241.9
2012,both,overall,bumi_malay,14780.3
2012,both,overall,bumi_other,3469.6
2012,both,overall,chinese,6510.7
2012,both,overall,indian,1952.1
2012,both,overall,other_citizen,249.1
2013,both,overall,bumi_malay,15022.2
2013,both,overall,bumi_other,3526.9
2013,both,overall,chinese,6554.4
2013,both,overall,indian,1965.2
2013,both,overall,other_citizen,257
2014,both,overall,bumi_malay,15285.3
2014,both,overall,bumi_other,3581.7
2014,both,overall,chinese,6586.2
2014,both,overall,indian,1977.7
2014,both,overall,other_citizen,265.5
2015,both,overall,bumi_malay,15548.8
2015,both,overall,bumi_other,3634.1
2015,both,overall,chinese,6618.8
2015,both,overall,indian,1986.4
2015,both,overall,other_citizen,272.1
2016,both,overall,bumi_malay,15796.3
2016,both,overall,bumi_other,3688.9
2016,both,overall,chinese,6645.7
2016,both,overall,indian,1991.6
2016,both,overall,other_citizen,280.9
2017,both,overall,bumi_malay,16045.1
2017,both,overall,bumi_other,3735.9
2017,both,overall,chinese,6665.3
2017,both,overall,indian,2001.1
2017,both,overall,other_citizen,287.7
2018,both,overall,bumi_malay,16292
2018,both,overall,bumi_other,3783.3
2018,both,overall,chinese,6682.1
2018,both,overall,indian,2008.3
2018,both,overall,other_citizen,293.7
2019,both,overall,bumi_malay,16534.7
2019,both,overall,bumi_other,3834.6
2019,both,overall,chinese,6698.6
2019,both,overall,indian,2014.8
2019,both,overall,other_citizen,299.7
2020,both,overall,bumi_malay,16913
2020,both,overall,bumi_other,3736.5
2020,both,overall,chinese,6892.4
2020,both,overall,indian,1998.8
2020,both,overall,other_citizen,215.6
2021,both,overall,bumi_malay,17248.4
2021,both,overall,bumi_other,3654.1
2021,both,overall,chinese,6891.7
2021,both,overall,indian,2002.6
2021,both,overall,other_citizen,220.1
2022,both,overall,bumi_malay,17422
2022,both,overall,bumi_other,3679.8
2022,both,overall,chinese,6873.7
2022,both,overall,indian,1999.9
2022,both,overall,other_citizen,222.8
2023,both,overall,bumi_malay,17614.9
2023,both,overall,bumi_other,3726.5
2023,both,overall,chinese,6866.2
2023,both,overall,indian,2002.7
2023,both,overall,other_citizen,226.9
2024,both,overall,bumi_malay,17808.4
2024,both,overall,bumi_other,3760.4
2024,both,overall,chinese,6857.6
2024,both,overall,indian,2005.5
2024,both,overall,other_citizen,230.7